"Lengths","P"
125,0.0212077585028912
126,0.0215048318610262
127,0.0218072635287868
128,0.0221151826716047
129,0.0224287222469869
130,0.022748019125818
131,0.0230732142176126
132,0.0234044525998429
133,0.0237418836514669
134,0.0240856611907926
135,0.0244359436178097
136,0.0247928940611306
137,0.0251566805296809
138,0.0255274760692882
139,0.0259054589243159
140,0.0262908127044996
141,0.0266837265571405
142,0.0270843953448197
143,0.0274930198287966
144,0.0279098068582634
145,0.0283349695656249
146,0.0287687275679846
147,0.0292113071750145
148,0.0296629416033944
149,0.0301238711980086
150,0.0305943436600906
151,0.0310746142825126
152,0.0315649461924158
153,0.0320656106013848
154,0.0325768870633702
155,0.0330990637405656
156,0.0336324376774503
157,0.0341773150832092
158,0.0347340116227432
159,0.0353028527164879
160,0.0358841738492544
161,0.0364783208883133
162,0.0370856504109376
163,0.0377065300416228
164,0.0383413387992016
165,0.0389904674540679
166,0.0396543188957233
167,0.0403333085108562
168,0.0410278645721582
169,0.0417384286380807
170,0.0424654559637226
171,0.0432094159230402
172,0.0439707924425544
173,0.0447500844467241
174,0.0455478063151428
175,0.0463644883516999
176,0.0472006772658333
177,0.0480569366659843
178,0.0489338475653423
179,0.0498320088999477
180,0.0507520380591941
181,0.0516945714287444
182,0.0526602649458437
183,0.0536497946669769
184,0.0546638573477814
185,0.0557031710350821
186,0.0567684756708711
187,0.057860533708001
188,0.0589801307373055
189,0.0601280761257994
190,0.0613052036655427
191,0.0625123722326781
192,0.0637504664560734
193,0.0650203973949087
194,0.0663231032244569
195,0.0676595499291985
196,0.0690307320023002
197,0.0704376731503662
198,0.0718814270022342
199,0.0733630778204508
200,0.0748837412138988
201,0.0764445648498902
202,0.0780467291638499
203,0.0796914480645283
204,0.0813799696324673
205,0.0831135768092242
206,0.0848935880746124
207,0.0867213581089673
208,0.0885982784371617
209,0.0905257780508089
210,0.0925053240047689
211,0.0945384219837457
212,0.0966266168343996
213,0.0987714930580256
214,0.100974675258442
215,0.10323782853931
216,0.105562658844652
217,0.107950913235863
218,0.110404380098009
219,0.112924889267677
220,0.115514312074082
221,0.118174561284592
222,0.120907590945163
223,0.123715396105637
224,0.126600012419111
225,0.129563515604
226,0.132608020756649
227,0.135735681501695
228,0.138948688966628
229,0.142249270566247
230,0.145639688582019
231,0.149122238520532
232,0.15269924723455
233,0.156373070789409
234,0.160146092056806
235,0.164020718017332
236,0.167999376752449
237,0.17208451410605
238,0.176278589995144
239,0.180584074348821
240,0.185003442654232
241,0.189539171088095
242,0.194193731212114
243,0.198969584210709
244,0.203869174649695
245,0.208894923734903
246,0.214049222050421
247,0.219334421756967
248,0.22475282823212
249,0.230306691135581
250,0.235998194884503
251,0.241829448526109
252,0.247802474997482
253,0.253919199765441
254,0.260181438843022
255,0.266590886183113
256,0.273149100454418
257,0.279857491210107
258,0.286717304465268
259,0.293729607705664
260,0.300895274357286
261,0.308214967753824
262,0.31568912464741
263,0.323317938316822
264,0.331101341336765
265,0.339038988081771
266,0.347130237048679
267,0.355374133092483
268,0.363769389681434
269,0.372314371288613
270,0.381007076048535
271,0.389845118818661
272,0.398825714796659
273,0.407945663854817
274,0.417201335762872
275,0.426588656479427
276,0.436103095699919
277,0.445739655855427
278,0.4554928627612
279,0.465356758116439
280,0.475324894057215
281,0.485390329962212
282,0.495545631706038
283,0.50578287354683
284,0.516093642823672
285,0.526469047624772
286,0.536899727569254
287,0.547375867823842
288,0.557887216450601
289,0.568423105153423
290,0.578972473459168
291,0.589523896334752
292,0.600065615204106
293,0.610585572289533
294,0.621071448160864
295,0.631510702333714
296,0.641890616715683
297,0.652198341657257
298,0.662420944323292
299,0.67254545906206
300,0.682558939412701
301,0.6924485113595
302,0.702201427413216
303,0.711805121076728
304,0.721247261234926
305,0.730515805997698
306,0.739599055520465
307,0.748485703329174
308,0.757164885686224
309,0.765626228550293
310,0.773859891706379
311,0.781856609672159
312,0.789607729022496
313,0.797105241814998
314,0.804341814845149
315,0.811310814508861
316,0.818006327102384
317,0.824423174443414
318,0.830556924751896
319,0.836403898783453
320,0.841961171261627
321,0.847226567706236
322,0.852198656803321
323,0.856876738506591
324,0.861260828100416
325,0.865351636489651
326,0.869150547011579
327,0.872659589089793
328,0.875881409068724
329,0.878819238580791
330,0.881476860805927
331,0.883858574985745
332,0.885969159552117
333,0.887813834222916
334,0.889398221406488
335,0.890728307241634
336,0.891810402581995
337,0.892651104213244
338,0.893257256569048
339,0.893635914187732
340,0.893794305126656
341,0.893739795525791
342,0.893479855486429
343,0.893022026405677
344,0.892373889882799
345,0.891543038289781
346,0.89053704707602
347,0.889363448855972
348,0.888029709309007
349,0.886543204902854
350,0.884911202435798
351,0.883140840378338
352,0.881239111982332
353,0.879212850114586
354,0.87706871376257
355,0.874813176152091
356,0.872452514410545
357,0.869992800704438
358,0.867439894776286
359,0.864799437803581
360,0.86207684750114
361,0.85927731438771
362,0.856405799138143
363,0.853467030943541
364,0.850465506803534
365,0.847405491677087
366,0.844291019420925
367,0.841125894447668
368,0.837913694039016
369,0.834657771252824
370,0.83136125836643
371,0.828027070802271
372,0.824657911485474
373,0.821256275586718
374,0.817824455607225
375,0.814364546766208
376,0.810878452654411
377,0.807367891120566
378,0.803834400360615
379,0.800279345182362
380,0.796703923420868
381,0.793109172482342
382,0.789495975996531
383,0.785865070559637
384,0.782217052551621
385,0.778552385013389
386,0.77487140457078
387,0.771174328393517
388,0.767461261178333
389,0.763732202146348
390,0.759987052045484
391,0.75622562014925
392,0.7524476312436
393,0.748652732593843
394,0.744840500883692
395,0.741010449118552
396,0.73716203348506
397,0.733294660158682
398,0.729407692050948
399,0.725500455487536
400,0.721572246808085
401,0.717622338878168
402,0.713649987503444
403,0.709654437735564
404,0.705634930058955
405,0.701590706447202
406,0.697521016277348
407,0.693425122090089
408,0.689302305183552
409,0.685151871028118
410,0.680973154489607
411,0.676765524848063
412,0.672528390599449
413,0.668261204027634
414,0.663963465534364
415,0.659634727715204
416,0.655274599169925
417,0.650882748036416
418,0.646458905237861
419,0.642002867433755
420,0.637514499666267
421,0.632993737694471
422,0.628440590010119
423,0.623855139529824
424,0.619237544959885
425,0.614588041831295
426,0.609906943203986
427,0.605194640040806
428,0.600451601253282
429,0.595678373422744
430,0.590875580201965
431,0.586043921403995
432,0.581184171786391
433,0.576297179540549
434,0.571383864497233
435,0.566445216060782
436,0.561482290885766
437,0.556496210311014
438,0.551488157567048
439,0.546459374773924
440,0.541411159747313
441,0.536344862631374
442,0.531261882377581
443,0.526163663089065
444,0.521051690250369
445,0.515927486862659
446,0.510792609504458
447,0.505648644337862
448,0.500497203079916
449,0.495339918958499
450,0.490178442671513
451,0.485014438367584
452,0.479849579665779
453,0.474685545730979
454,0.4695240174207
455,0.464366673518157
456,0.459215187065309
457,0.454071221808588
458,0.448936428768826
459,0.443812442945785
460,0.43870088016648
461,0.43360333408534
462,0.428521373343045
463,0.423456538889715
464,0.418410341476994
465,0.413384259322434
466,0.408379735948538
467,0.403398178197737
468,0.398440954423645
469,0.393509392857958
470,0.388604780151512
471,0.383728360087212
472,0.378881332461754
473,0.374064852132439
474,0.369280028224707
475,0.36452792349549
476,0.359809553847025
477,0.355125887985282
478,0.350477847216892
479,0.345866305378076
480,0.341292088888928
481,0.336755976926152
482,0.332258701707268
483,0.327800948879227
484,0.323383358004325
485,0.319006523136331
486,0.314670993479809
487,0.310377274125686
488,0.306125826856246
489,0.301917071012896
490,0.297751384420199
491,0.293629104359896
492,0.289550528588841
493,0.285515916395008
494,0.281525489685984
495,0.277579434104605
496,0.273677900166672
497,0.269821004415948
498,0.266008830591896
499,0.262241430805916
500,0.258518826722095
501,0.254841010738761
502,0.251207947167392
503,0.247619573405707
504,0.244075801102002
505,0.24057651730806
506,0.237121585618196
507,0.233710847292224
508,0.230344122360369
509,0.227021210708352
510,0.223741893141071
511,0.220505932423513
512,0.217313074297698
513,0.214163048474639
514,0.211055569600444
515,0.207990338195876
516,0.204967041568784
517,0.201985354698988
518,0.199044941095293
519,0.196145453624446
520,0.193286535311935
521,0.190467820114633
522,0.187688933665382
523,0.184949493989678
524,0.182249112194703
525,0.179587393131006
526,0.176963936027198
527,0.174378335098074
528,0.171830180126628
529,0.169319057020448
530,0.16684454834304
531,0.16440623382063
532,0.162003690825053
533,0.159636494833308
534,0.15730421986444
535,0.155006438894356
536,0.152742724249249
537,0.150512647978266
538,0.148315782206094
539,0.14615169946611
540,0.144019973014772
541,0.14192017712789
542,0.139851887379435
543,0.13781468090354
544,0.135808136640311
545,0.133831835566089
546,0.131885360908781
547,0.129968298348852
548,0.128080236206582
549,0.126220765616167
550,0.124389480687221
551,0.122585978654245
552,0.120809860014584
553,0.119060728655406
